Pan Module,,,,
Part Number,Name,Quantity,Specifics,Links
1,Magnetic Limit Switch,1,,NJK-5002C NPN NO10mm Hall Effect Sensor Switch DC5-30V Inductive Sensor
2,Belt Tensioning Pully,1,20T Smooth 5mm Bore,GT2 15mm Belt width Pulley Timing Belt Smooth Tooth Idler Drive Pulley All Bore
3,Drive Pulley,1,"15 mm, 5M12, 12T, 6 mm",https://www.ebay.co.uk/itm/324259114952?var=513333055566
4,Drive Motor,1,"160RPM, Dual Shaft, 12V",https://www.ebay.co.uk/itm/225763826833?var=524869796331
5,Encoder,1,,https://www.mouser.co.uk/ProductDetail/CUI-Devices/AMT102-V?qs=WyjlAZoYn533PQfgnorrMg%3D%3D&gad_source=1&gclid=CjwKCAiA8sauBhB3EiwAruTRJk63qlv1zkPeAZ9hYqBOBbZhd9yN0sSbpMoqMGCR1aS6eEL29Y7ilxoCCMgQAvD_BwE
6,7 Pin Connector,1,Male,https://www.ebay.co.uk/itm/283585673998?var=585698787747&itmmeta=01HPZ3FGEBR5BY9XTBATXMR4V5&hash=item420705fb0e:g:An0AAOSwmRBdWIJ7&itmprp=enc%3AAQAIAAAA4FY1ChTtqRcmf1aStP8T3fI6QW0dcds49ILSRKFge%2FZVCeSr2DWJlcxivXswyxh%2BW6qHZ2khl1BB3WYurm2OQcH8ofZSmyH4QzFmi1vv%2B8ShnAy7RzAWl%2BR800QIDUbRduB%2BLgX1naCn2XK%2Fv%2Bmtr74Rn5Hbe372BvjXaBqotEKYC45Ax%2BG2v395HDzmyiVT5%2Ftj%2F6BXL7DYMnC679D7aMQiA5mrXoQWSGvrzPj7M4HiFg1YeMpsm6gpDpopy7vKY9MSA%2FAPj1T4KE21OSHhnRZnEV2ksoispKbnwfm4ZNFc%7Ctkp%3ABk9SR8KHvuO3Yw
7,MBS HTD 5M Drive Pulley,1,72T,https://www.atbshop.co.uk/electric-board-accessories/mbs-wheel-pulley-htd-5m-72t-belt-drive?gad_source=1&gclid=CjwKCAiArLyuBhA7EiwA-qo80DjrUxE5i1ik6GmLHiNYNQYvErLYw5rdzWyg2gVoXEmOZU7AIsDyjhoC5N8QAvD_BwE
8,HTD 5M 15mm belt loop ,1,,https://www.ebay.co.uk/itm/191500943985?itmmeta=01HPZ3GE751B0KZAM2KS4RT3KG&hash=item2c96588271:g:4AYAAOSwpDdU4gJn&itmprp=enc%3AAQAIAAAAwLsl2eSNoy7TME0elDUfd8m9uTDSRoD5xsX1gxj38DgqBAJrFJMCfL67jHj3zI6Tkfu2mUALGellc7IdBxZTopdbcFtl9OEyljfG9XNylwA7XviuK9KFOBxuKvcw5k2T9eBeuy%2FE9%2FlHR5%2BnSK0IVs4ZzIbbVOwTPoWQJ0Iag7jGAB2nAzZ%2FaWB41iCzMQyKh7y47GlRL0dDCAPhM84BarJWi97g6uocu0%2BJuYL4tMl1jz67ZdvKTP%2B3m5otMWik4Q%3D%3D%7Ctkp%3ABlBMUPTjweO3Yw
,6815 Bearing,2,,https://www.ebay.co.uk/itm/223058142582?itmmeta=01HPZ3H7XPH7A7DEME9MQY7BSW&hash=item33ef4d2576:g:OVwAAOSwVeJbR364&itmprp=enc%3AAQAIAAAA4Lg2RjG7EpfwASrmSfuhE%2F3bgU312dpQUoL8OsleNoBB6XQH56CtffxwZTjw0SJENCEPGB1HNYmz5Xi8lJ8zJrURTl7J7uFbnoYont3ez3VO6r1WPOOmO5bOfOVNCzZuqMFcYoVGng4RBV6wIYRsgviW1sPZwyMpub4QvbbFmS986imDg4JvNybi399vaP9nELXBe3Jnz9bLR5GEvgF5mrNhCmjnrlsHJMiyfQyhoE4pVzPoOEjwlSu0rC%2F4y%2FXSQgWYSq%2B6sM6zbmLb9ogIelX6yndoKhVeOmxKMd0nq0Vz%7Ctkp%3ABFBMmP_E47dj
9,M5 x 60,4,Flat Head,
10,M5 x 60,5,Cap Head,
11,M4 x 30,5,Cap Head,
12,M4 heat set inserts,5,M4,https://www.ebay.co.uk/itm/314297471901?itmmeta=01HPZ3E92BK7MB44376QER4TDD&hash=item492d96d39d:g:ybQAAOSwQ3xjqW3H&itmprp=enc%3AAQAIAAAA4KtDVzHYgqWWmqmAjEDImIzr%2FmyYJCq6KXi5lZ%2FNG5dgZvlizdjOeZVwl2nYOQYgXtg0zJD56PS1UhMmJNNxFftDt%2Fs0c4nIckPV0LR3pM2UB2eNn8KTchrEzfAL9P8AoUH%2BmGW%2B1LH2wFJZnTX%2FZUMS8SbEpRUk2%2BD0HkEs8lKypbT4%2BAVjGidbPre%2BW2Eka%2FZPe6V7c2BnMaZAT%2B7C3vCo1hpSct7jkWy%2Bvkbb2mEMlQnTwviV6zs7%2BvrfYttc5b%2Bg83V0TFiT4823Mg0AkY07Uik%2FHaNYZjvZhEqRbNq5%7Ctkp%3ABFBMwpG547dj
13,M3 x 30,1,Cap Head,
14,M5 x 30,1,Cap Head,
15,M5 Nyloc Nuts,10,,
16,M3 x 45,5,Cap Head,
17,M3 Head Set inserts,5,,
18,MainHub_Access_Panel,1,printed,https://github.com/Wattersto08/iris/blob/main/CAD/MainHub_Access_Panel.stl
19,MainHub_Cover,1,printed,https://github.com/Wattersto08/iris/blob/main/CAD/MainHub_Cover.stl
20,Pan_Mainhub,1,printed,https://github.com/Wattersto08/iris/blob/main/CAD/Pan_Mainhub.stl
21,Pan_MainShaft,1,printed,https://github.com/Wattersto08/iris/blob/main/CAD/Pan_MainShaft.stl
22,PanTilt_Interface,1,printed,https://github.com/Wattersto08/iris/blob/main/CAD/PanTilt_Interface.stl
